isin,ticker,yahoo_symbol,status
IE00BMVB5P51,V60A,V60A.DE,suffix
IE000ZUTO1I5,GQJY,GQJY.DE,suffix
IE00B3B8Q275,IUS6,IUS6.DE,suffix
LU2564007743,CSE,CSE.DE,suffix
IE000FASRFS4,JMAC,JMAC.DE,suffix
LU1753045332,ASRR,ASRR.DE,suffix
IE00BP2C1S34,HPAU,HPAU.DE,suffix
IE00050EGWG5,XDJU,XDJU.DE,suffix
DE000A0F5UG3,EXXV,EXXV.DE,suffix
LU0274212538,DBXI,DBXI.DE,suffix
IE000BXC49I6,JGSC,JGSC.DE,suffix
LU1852211645,CHSK,CHSK.DE,suffix
IE00BYZNF849,XIFE,XIFE.DE,suffix
IE00BMDBMN04,GRON,GRON.DE,suffix
IE000CCQKON9,JHES,JHES.DE,suffix
IE00BLCHJ534,94VE,94VE.DE,suffix
IE00BJXT3G33,4UBD,4UBD.DE,suffix
IE000DVHJV46,XUML,XUML.DE,suffix
IE00BCRY6557,IS3M,IS3M.DE,suffix
LU1681040496,AHYE,AHYE.DE,suffix
IE00B5MJYX09,SC0S,SC0S.DE,suffix
LU3123443510,XASB,XASB.DE,suffix
IE000VSFIC94,CBU1,CBU1.DE,suffix
IE00B3F81409,EUNU,EUNU.DE,suffix
FR0010524777,LYM9,LYM9.DE,suffix
LU3206582929,AHYY,AHYY.DE,suffix
IE000JZ473P7,H4ZN,H4ZN.DE,suffix
DE000A0D8Q23,EXXX,EXXX.DE,suffix
IE00BZ0PKS76,IBCY,IFSU.L,isin_search
IE0002LUYGW0,IVNA,IVNA.DE,suffix
IE00BDR55927,AW1R,AW1R.DE,suffix
LU2572257397,X014,X014.DE,suffix
IE00BN4PXC48,AW11,AW11.DE,suffix
IE00BF1QPL78,SPFE,SPFE.DE,suffix
IE000KXM3O48,QRED,QRED.DE,suffix
IE000P4AYI47,XCTW,XCTW.DE,suffix
IE000D0T0BO1,FLXJ,FLXJ.DE,suffix
LU1953137681,EMUS,EMUS.DE,suffix
DE000A0F5UE8,EXXU,EXXU.DE,suffix
IE00036F4K40,XDG3,XDG3.DE,suffix
IE00B0M62X26,IBCI,IBCI.DE,suffix
IE0001VDDL68,GB1A,GB1A.DE,suffix
IE00BRB36B93,XDNE,XDNE.DE,suffix
IE000979OT00,EUAI,EUAI.DE,suffix
LU1981859819,XCO2,XCO2.DE,suffix
LU1650492256,D100,D100.DE,suffix
IE00BM9TSP27,XSOE,XSOE.DE,suffix
IE000004V778,WGES,WGES.DE,suffix
IE000OBK3UE0,ASWL,ASWL.DE,suffix
IE00B14X4N27,IQQU,IQQU.DE,suffix
IE0005NYD352,WELM,WELM.DE,suffix
LU2082999058,INDB,INDB.DE,suffix
LU2872292243,LC39,LC39.DE,suffix
LU1109943388,XHYA,XHYA.DE,suffix
IE00BL6K6H97,TIGR,TIGR.DE,suffix
IE000W6YTDH7,BD30,BD30.DE,suffix
IE00B53L3W79,SXRT,SXRT.DE,suffix
IE000IDLWOL4,XEWE,XEWE.DE,suffix
IE00BCLWRB83,IS3F,IS3F.DE,suffix
LU1841731745,L4K3,L4K3.DE,suffix
LU2206598109,UIW3,UIW3.DE,suffix
IE000Z3S26J2,CEB7,CEB7.DE,suffix
IE00BYTH5R14,ZPD6,ZPD6.DE,suffix
LU1686830909,LYQS,LYQS.DE,suffix
IE000K1P4V37,MWSH,MWSH.DE,suffix
IE0002HWPU75,JURY,JURY.DE,suffix
IE00BJK55C48,AYE2,AYE2.DE,suffix
LU2809864619,XB34,XB34.DE,suffix
IE00BP3QZ825,IS3R,IS3R.DE,suffix
IE00BD0Q9673,FAHY,FAHY.DE,suffix
IE000A7N3IV0,JRWA,JRWA.DE,suffix
IE000STIHQB2,FVSA,FVSA.DE,suffix
IE000FZ1S3M3,CEMJ,CEMJ.DE,suffix
DE0005933980,EXSC,EXSC.DE,suffix
IE000SNCKVM9,QSPD,QSPD.DE,suffix
IE00BJ5JNY98,AYEW,AYEW.DE,suffix
DE000ETFL607,D6RD,D6RD.DE,suffix
IE00B7WK2W23,UIQI,UIQI.DE,suffix
IE00BG04M077,XD9E,XD9E.DE,suffix
IE00BH361H73,XDND,XDND.DE,suffix
IE000MU0FDZ8,SNP1,SNP1.DE,suffix
IE000P0R7WK6,GSOV,GSOV.DE,suffix
IE0006HMLPV6,JSHE,JSHE.DE,suffix
FR0011550193,ETSZ,ETSZ.DE,suffix
IE00B8CJW150,SMLD,SMLD.DE,suffix
IE00BG0NY640,ICFP,ICFP.DE,suffix
DE0002635299,EXSH,EXSH.DE,suffix
IE00059GZ051,SUST,SUST.DE,suffix
LU3078637405,0SWU,0SWU.DE,suffix
LU2456436083,XCS7,XCS7.DE,suffix
IE000IF5WTI9,OP7U,OP7U.DE,suffix
LU1737653987,DECR,DECR.DE,suffix
LU2265794276,UIC2,UIC2.DE,suffix
DE000ETFL177,EL4R,EL4R.DE,suffix
