isin,ticker,yahoo_symbol,status
IE00BJSFR200,HYLE,HYLE.DE,suffix
IE000WXLHR76,TUCP,TUCP.DE,suffix
IE000IQQEL77,ASWD,ASWD.DE,suffix
IE000Y1595P8,MAXD,MAXD.DE,suffix
DE000ETFL201,EL4U,EL4U.DE,suffix
IE00BLCHJB90,XB0T,XB0T.DE,suffix
IE00BZ0G8977,SYBY,SYBY.DE,suffix
IE00BJ5JPJ87,IUSW,IUSW.DE,suffix
IE000XL4IXU1,XMGA,XMGA.DE,suffix
IE00BDR5HM97,XUHY,XUHY.DE,suffix
DE000ETFL359,EL48,EL48.DE,suffix
DE000A0H08P6,EXH8,EXH8.DE,suffix
IE0000BNORX6,JEEA,JEEA.DE,suffix
IE00BSKRJX20,IS05,IS05.DE,suffix
IE000IZO7033,CBUP,CBUP.DE,suffix
IE000PKN5N58,UCLU,UCLU.DE,suffix
LU1806495575,UCRP,UCRP.DE,suffix
IE000N70F6V6,CNUB,CNUB.DE,suffix
LU1910940268,B8TQ,B8TQ.DE,suffix
LU1900067601,LTUR,LTUR.DE,suffix
LU1931975152,PR1R,PR1R.DE,suffix
NL0011683594,VDIV,VDIV.DE,suffix
IE000YU9K6K2,JEDI,JEDI.DE,suffix
DE000A0Q4R28,EXV5,EXV5.DE,suffix
IE000PS0J481,B41J,B41J.DE,suffix
LU2573967036,LEMA,LEMA.DE,suffix
IE0008ZGI5C1,FLPE,FLPE.DE,suffix
LU3075459852,INY0,INY0.DE,suffix
LU1563454310,KLMT,KLMT.DE,suffix
IE000264WWY0,IB28,IB28.DE,suffix
IE00B4MKCJ84,2B7B,2B7B.DE,suffix
DE000A0Q4R69,EXIA,EXIA.DE,suffix
LU1650487413,LYQ2,LYQ2.DE,suffix
IE000UZTA1X0,WEBP,WEBP.DE,suffix
LU2244387887,EGRE,EGRE.DE,suffix
IE00BMYDM919,LGGE,LGGE.DE,suffix
IE000HARFTG3,VEGE,VEGE.DE,suffix
IE00B27YCK28,IUSC,IUSC.DE,suffix
FR001400YYJ0,FINZ,FINZ.DE,suffix
IE00BZ4BMM98,EHDV,EHDV.DE,suffix
IE00B5M1WJ87,SPYW,SPYW.DE,suffix
IE000MLMNYS0,O4J0,O4J0.DE,suffix
IE00BZ56RG20,WTDM,WTDM.DE,suffix
IE00B23D9570,6PSK,6PSK.DE,suffix
IE00B6YX5F63,SYB3,SYB3.DE,suffix
LU2196472984,XS5E,XS5E.DE,suffix
IE00BFNM3M05,SODJ,SODJ.DE,suffix
IE00BYSX4739,FYEQ,FYEQ.DE,suffix
LU0274221281,XSMI,XSMI.DE,suffix
IE00B9M6RS56,IS3C,IS3C.DE,suffix
LU2314312849,9W1,9W1.DE,suffix
IE00BD4TXW66,BCFT,BCFT.DE,suffix
IE000SU1VJ03,WDSD,WDSD.DE,suffix
IE00BNG8L278,V3AA,V3AA.DE,suffix
LU1390062245,EUIN,EUIN.DE,suffix
IE00063GNWK1,CSY2,CSY2.DE,suffix
IE0002PPCMH6,FTMR,FTMR.DE,suffix
IE0006WPPA00,ASWA,ASWA.DE,suffix
LU1048314196,UEF6,UEF6.DE,suffix
LU0950669845,AW1T,AW1T.DE,suffix
IE00B3Q19T94,S7XE,S7XE.DE,suffix
IE00BF2FNR50,TR7A,TR7A.DE,suffix
IE000UZZ5D45,WMFS,WMFS.DE,suffix
IE0000UJ3480,CBU5,CBU5.DE,suffix
IE00BG04LT92,XUHE,XUHE.DE,suffix
IE0006HIE7H2,SCOM,SCOM.DE,suffix
LU1681046691,DE5A,DE5A.DE,suffix
IE00B5V94313,IS0L,IS0L.DE,suffix
IE000ISS8DB2,XSWD,XSWD.DE,suffix
IE0006NZSQW7,GDJY,,no_data
IE00032YLFR3,ESAJ,ESAJ.DE,suffix
IE00B3VTML14,SXRP,SXRP.DE,suffix
IE000I1D7D10,CEBK,CEBK.DE,suffix
LU0446734872,UIM9,UIM9.DE,suffix
IE000BI0GCN3,CBUS,CBUS.DE,suffix
DE0006289382,EXI2,EXI2.DE,suffix
XS2901886445,COIY,COIY.DE,suffix
LU1781541096,LCUK,LCUK.DE,suffix
IE00BMP3HG27,UBUM,UBUM.DE,suffix
IE0004U3TX15,MTVR,MTVR.DE,suffix
IE00BF4G6Z54,JREM,JREM.DE,suffix
IE0003JSNHV9,JEGS,JEGS.DE,suffix
IE00B52VJ196,IUSK,IUSK.DE,suffix
BG9000011163,BGX,BGX.DE,suffix
IE00BSKRK281,IS06,IS06.DE,suffix
IE000R8PO127,UKRN,UKRN.DE,suffix
IE000W6L2AI3,XCEU,XCEU.DE,suffix
DE000ETFL433,ELF0,ELF0.DE,suffix
IE00BJQRDK83,ESGW,ESGW.DE,suffix
IE00BMXC7W70,WPAB,WPAB.DE,suffix
DE000ETFL193,EL4T,EL4T.DE,suffix
LU1291101555,EESM,EESM.DE,suffix
IE0000J0F3C5,JRUE,JRUE.DE,suffix
IE000LKGEZQ6,BE28,BE28.DE,suffix
IE00BKT1CS59,SNAZ,SNAZ.DE,suffix
DE0005933964,EXI1,EXI1.DE,suffix
LU1598688189,LGWT,LGWT.DE,suffix
DE0005933931,EXS1,EXS1.DE,suffix
LU1324516050,UEFS,UEFS.DE,suffix
IE000KXTLDE2,FCHP,FCHP.DE,suffix
IE00BK5BR733,VFEA,VFEA.DE,suffix
